model,idiom,language,cluster
mSBERT,তাবড় তাবড়,Bengali,22
mSBERT,তা বৈকি,Bengali,49
mSBERT,তাবৈকি,Bengali,33
mSBERT,তামা তুলসী করা,Bengali,2
mSBERT,তামাদি,Bengali,9
mSBERT,তামার বিষ,Bengali,25
mSBERT,তারকাটা,Bengali,1
mSBERT,তারস্বর,Bengali,22
mSBERT,তারিয়ে তারিয়ে,Bengali,49
mSBERT,তাল করা,Bengali,42
mSBERT,তালকানা,Bengali,9
mSBERT,তালগাছ দিয়ে দাঁতন করা,Bengali,2
mSBERT,তালগাছের আড়াই হাত,Bengali,18
mSBERT,তালগোল পাকানো,Bengali,2
mSBERT,তালজ্ঞান,Bengali,2
mSBERT,তাল ঠুকে লাগা,Bengali,25
mSBERT,তাল ঠোকা,Bengali,25
mSBERT,তাল তোলা,Bengali,25
mSBERT,তাল দেওয়া,Bengali,25
mSBERT,তাল পড়া,Bengali,25
mSBERT,তালপাতার খাঁড়া,Bengali,25
mSBERT,তালপাতার ছায়া,Bengali,25
mSBERT,তালপাতার সেপাই,Bengali,25
mSBERT,তালবাহানা,Bengali,33
mSBERT,তালমিল,Bengali,9
mSBERT,তাল রাখা,Bengali,47
mSBERT,তাল সামলানো,Bengali,42
mSBERT,তালে তাল দেওয়া,Bengali,2
mSBERT,তালেগোলে,Bengali,2
mSBERT,তালেবর,Bengali,42
mSBERT,তাসের ঘর,Bengali,2
mSBERT,তা হলে ঐ কথাই রইলো,Bengali,49
mSBERT,তিক্ত,Bengali,42
mSBERT,তিড়বিড়,Bengali,9
mSBERT,তিড়িংবিড়িং,Bengali,42
mSBERT,তিতিবিরক্ত,Bengali,42
mSBERT,তিনঠেঙে,Bengali,22
mSBERT,তিনকাল,Bengali,40
mSBERT,তিনকুল,Bengali,42
mSBERT,তিনখানা,Bengali,49
mSBERT,তিন তালাক,Bengali,42
mSBERT,তিনমাথা,Bengali,49
mSBERT,তিন লাফে,Bengali,10
mSBERT,তিনশত্রু,Bengali,42
mSBERT,তিন সত্যি,Bengali,49
mSBERT,তিনসন্ধ্যা,Bengali,42
mSBERT,তিনাঞ্জলি,Bengali,42
mSBERT,তিমিঙ্গিল,Bengali,9
mSBERT,তিরস্কারিণী,Bengali,2
mSBERT,তিরিক্ষি,Bengali,20
mSBERT,তিরোধান,Bengali,9
mSBERT,তিল,Bengali,9
mSBERT,তিল কুড়িয়ে তাল গড়া,Bengali,25
mSBERT,তিল তিল করে,Bengali,25
mSBERT,তিল ধারণের জায়গা না থাকা,Bengali,20
mSBERT,তিলককাটা বামুন,Bengali,25
mSBERT,তিলকা,Bengali,33
mSBERT,তিলকঞ্চন,Bengali,9
mSBERT,তিলকে তাল করা,Bengali,25
mSBERT,তিলাঞ্জলি,Bengali,12
mSBERT,তিলে তাল,Bengali,2
mSBERT,তিলে তিলে,Bengali,33
mSBERT,তিলে তিলে তাল,Bengali,2
mSBERT,তিলে তিলে তিলোত্তমা,Bengali,12
mSBERT,তিলেক,Bengali,9
mSBERT,তিলোত্তমা,Bengali,9
mSBERT,তীরগলায় ঘণ্টা,Bengali,12
mSBERT,তীরে এসে তরী ডোবা,Bengali,2
mSBERT,তীর্থের কাক,Bengali,22
mSBERT,তুইতোকারি করা,Bengali,22
mSBERT,তুচ্ছতাচ্ছিল্য করা,Bengali,20
mSBERT,তুঘলকি কাণ্ড,Bengali,22
mSBERT,তুঙ্গী,Bengali,9
mSBERT,তুঙ্গে বৃহস্পতি,Bengali,12
mSBERT,তুড়ি দেওয়া,Bengali,22
mSBERT,তুড়িলাফ,Bengali,33
mSBERT,তুড়ুম ঠোকা,Bengali,9
mSBERT,তুড়ে দেওয়া,Bengali,22
mSBERT,তুফান তোলা,Bengali,42
mSBERT,তুবড়ি ছোটানো,Bengali,22
mSBERT,তুম-তানা-নানা,Bengali,33
mSBERT,তুমতুমি,Bengali,33
mSBERT,তুরীয়ানন্দ,Bengali,33
mSBERT,তুরুপের তাস,Bengali,12
mSBERT,তুর্কি নাচ,Bengali,22
mSBERT,তুর্কিনাচ নাচানো,Bengali,9
mSBERT,তুলকালাম কাণ্ড,Bengali,20
mSBERT,তুলতুল,Bengali,33
mSBERT,তুলসীবনের বাঘ,Bengali,2
mSBERT,তুলোধুনা করা,Bengali,20
mSBERT,তুল্যমূল্য,Bengali,20
mSBERT,তুষানল,Bengali,9
mSBERT,তৃণজ্ঞান করা,Bengali,20
mSBERT,তেপান্তর,Bengali,33
mSBERT,তেঁতুলে,Bengali,33
mSBERT,তেঁদড়,Bengali,22
mSBERT,তে এঁটে,Bengali,22
mSBERT,তেজ,Bengali,9
mSBERT,তেজারতি,Bengali,33
mSBERT,তেঠঙ্গা,Bengali,22
mSBERT,তেড়িবেড়ি,Bengali,22
mSBERT,তেড়েফুঁড়ে,Bengali,22
mSBERT,তেড়েমেড়ে,Bengali,22
mSBERT,তেতেপুড়ে,Bengali,22
mSBERT,তেরিয়া,Bengali,33
mSBERT,তেরি-মেরি,Bengali,12
mSBERT,তেরে-কেটে-তা,Bengali,9
mSBERT,তেরোস্পর্শ,Bengali,9
mSBERT,তেল,Bengali,41
mSBERT,তেল কুচকুচে,Bengali,41
mSBERT,তেল দেওয়া,Bengali,41
mSBERT,তেলাপোকার পাখি হওয়া,Bengali,25
mSBERT,তেলা মাথায় তেল দেওয়া,Bengali,25
mSBERT,তেলামাথায় তেল দেওয়া,Bengali,41
mSBERT,তেলেবেগুনে জ্বলে ওঠা,Bengali,41
mSBERT,তেলে ভাজা,Bengali,41
mSBERT,তেলেনা ভাঁজা,Bengali,41
mSBERT,তেশন্নির দশা,Bengali,2
mSBERT,তৈরী ছেলে,Bengali,1
mSBERT,তৈরী ছেলের বাপ,Bengali,2
mSBERT,তৈলবট,Bengali,9
mSBERT,তৈলদান,Bengali,42
mSBERT,তৈলাধার পাত্র কি পাত্রাধার তৈল,Bengali,25
mSBERT,তোড়জোড়,Bengali,42
mSBERT,তোতাপাখি,Bengali,22
mSBERT,তোতাবুলি,Bengali,9
mSBERT,তোতাবৃত্তি,Bengali,22
mSBERT,তোপ দাগা,Bengali,22
mSBERT,তোমার একদিন কি আমার একদিন,Bengali,49
mSBERT,তোয়াক্কা,Bengali,22
mSBERT,তোয়াজ,Bengali,33
mSBERT,তোলপাড়,Bengali,22
mSBERT,তোলা,Bengali,22
mSBERT,তোলোহাঁড়ি,Bengali,22
mSBERT,ত্যাঁদড়,Bengali,22
mSBERT,ত্যক্ত বিরক্ত,Bengali,20
mSBERT,ত্যাজ্যপুত্র,Bengali,9
mSBERT,ত্রাতা মধুদূদন,Bengali,12
mSBERT,ত্রাহি মধুসুদন,Bengali,33
mSBERT,ত্রাহি ত্রাহি ডাক ছাড়া,Bengali,2
mSBERT,ত্রিকুল,Bengali,9
mSBERT,ত্রিকোণ প্রেম,Bengali,21
mSBERT,ত্রিপাপ,Bengali,9
mSBERT,ত্রিফলা,Bengali,33
mSBERT,ত্রিবলি,Bengali,9
mSBERT,ত্রিবিদ্যা,Bengali,12
mSBERT,ত্রিবেণী,Bengali,33
mSBERT,ত্রিভঙ্গমুরারি,Bengali,12
mSBERT,ত্রিভুবন,Bengali,9
mSBERT,ত্রিমূর্তি,Bengali,9
mSBERT,ত্রিযামা,Bengali,33
mSBERT,ত্রিরাত্রি,Bengali,2
mSBERT,ত্রিলোক,Bengali,9
mSBERT,ত্রিশঙ্কু অবস্থা,Bengali,20
mSBERT,ত্রিশূল,Bengali,9
mSBERT,ত্রিসীমানা,Bengali,42
mSBERT,ত্রুটি বিচ্যুতি,Bengali,20
mSBERT,ত্রয়হস্পর্শ,Bengali,42
mSBERT,থমক,Bengali,22
mSBERT,থ খেয়ে মেরে যাওয়া,Bengali,2
mSBERT,থই পাওয়া,Bengali,22
mSBERT,থইথই,Bengali,22
mSBERT,থোকা দর,Bengali,9
mSBERT,থকা,Bengali,22
mSBERT,থতমত খাওয়া,Bengali,5
mSBERT,থপথপ,Bengali,22
mSBERT,থপথপে,Bengali,22
mSBERT,থমথম,Bengali,22
mSBERT,থরথর,Bengali,9
mSBERT,থরহরি কাঁপা,Bengali,25
mSBERT,থলথল,Bengali,9
mSBERT,থলির মধ্যে হাতি পোরা,Bengali,12
mSBERT,থাউকো,Bengali,9
mSBERT,থাকা-খাওয়া,Bengali,42
mSBERT,থাকাথাকি,Bengali,22
mSBERT,থাকা-না-থাকা,Bengali,26
mSBERT,থানা করা,Bengali,42
mSBERT,থানা-পুলিশ করা,Bengali,12
mSBERT,থাবা মারা,Bengali,42
mSBERT,থাবা দেওয়া,Bengali,42
mSBERT,থাবাথুবি দিয়ে রাখা,Bengali,20
mSBERT,থাবড়ানো,Bengali,42
mSBERT,থিকথিক করা,Bengali,9
mSBERT,থিতা,Bengali,33
mSBERT,থিতু হওয়া,Bengali,20
mSBERT,থির-থিরানি,Bengali,33
mSBERT,থুড়থুড়ে,Bengali,42
mSBERT,থুড়া,Bengali,9
mSBERT,থুতু ফেলা,Bengali,22
mSBERT,থুতু দিয়ে ছাতু গোলা,Bengali,25
mSBERT,থুম মেরে যাওয়া,Bengali,42
mSBERT,থেকে থেকে,Bengali,36
mSBERT,থেবড়া মারা,Bengali,25
mSBERT,থোঁতা মুখ,Bengali,0
mSBERT,থোঁতা মুখ ভোঁতা করা,Bengali,0
mSBERT,থোকে থোকে,Bengali,22
mSBERT,থোড়,Bengali,22
mSBERT,থোড়কুচি করা,Bengali,42
mSBERT,থোড়-বড়ি-খাড়া,Bengali,22
mSBERT,থোড়াই কেয়ার করা,Bengali,25
mSBERT,দকে পড়া,Bengali,22
mSBERT,দক্ষযজ্ঞ,Bengali,20
mSBERT,দক্ষিণ নায়ক,Bengali,12
mSBERT,দক্ষিণ রায়,Bengali,12
mSBERT,দক্ষিণহস্ত,Bengali,12
mSBERT,দক্ষিণহস্তের কাজ,Bengali,42
mSBERT,দক্ষিণা,Bengali,9
mSBERT,দক্ষিণাপথ,Bengali,12
mSBERT,দক্ষিণার জোর,Bengali,45
mSBERT,দগদগে,Bengali,12
mSBERT,দগ্ধপ্রাণ,Bengali,22
mSBERT,দগ্ধ কপাল,Bengali,25
mSBERT,দগ্ধপত্রন্যায়,Bengali,42
mSBERT,দগ্ধ প্রাণ,Bengali,42
mSBERT,দড়কাঁচা,Bengali,9
mSBERT,দড়িকলসি,Bengali,12
mSBERT,দড়ি ছিঁড়ে পালানো,Bengali,25
mSBERT,দড়িছেঁড়া গরু,Bengali,25
mSBERT,দড়ি ছেঁড়া,Bengali,25
mSBERT,দড়িদড়ি,Bengali,22
mSBERT,দণ্ডপাণি,Bengali,22
mSBERT,দণ্ডপূপন্যায়,Bengali,20
mSBERT,দণ্ডপ্রণাম,Bengali,42
mSBERT,দণ্ডমুণ্ডের কর্তা,Bengali,25
mSBERT,দণ্ডে দণ্ডে,Bengali,20
mSBERT,দত্তপূর্বা,Bengali,22
mSBERT,দধিকর্ম,Bengali,20
mSBERT,দধিমঙ্গল,Bengali,16
mSBERT,দধীচি,Bengali,42
mSBERT,দধীচির হাড়,Bengali,25
mSBERT,দন্ত কচকচি,Bengali,33
mSBERT,দন্তবিকাশ,Bengali,20
mSBERT,দন্তরুচিকৌমুদী,Bengali,33
mSBERT,দন্তস্ফুট,Bengali,9
mSBERT,দাঁতে কুটো ধরা,Bengali,0
mSBERT,দপদপ,Bengali,42
mSBERT,দফায় দফায়,Bengali,42
mSBERT,দফা রফা,Bengali,42
mSBERT,দফারফা,Bengali,42
mSBERT,দফা শেষ,Bengali,13
mSBERT,দবদব,Bengali,22
mSBERT,দবদবা-রবরবা,Bengali,22
mSBERT,দমকা খরচ,Bengali,43
mSBERT,দম খাওয়া,Bengali,5
mSBERT,দম টানা,Bengali,22
mSBERT,দম দেওয়া,Bengali,22
mSBERT,দম দেওয়া পুতুল,Bengali,2
mSBERT,দম নেওয়া,Bengali,22
mSBERT,দম ফাটা,Bengali,22
mSBERT,দমফাটা হাসি,Bengali,22
mSBERT,দম ফুরানো,Bengali,22
mSBERT,দমবাজী,Bengali,25
mSBERT,দম বার হওয়া,Bengali,42
mSBERT,দম রাখা,Bengali,47
mSBERT,দম লাগানো,Bengali,22
mSBERT,দমসম,Bengali,9
mSBERT,দমে ভারী,Bengali,25
mSBERT,দয়ার লেশ নেই,Bengali,26
mSBERT,দহে পড়া,Bengali,2
mSBERT,দহ ফেলা,Bengali,22
mSBERT,দরকচা,Bengali,22
mSBERT,দরকচা মারা,Bengali,25
mSBERT,দর-কষাকষি,Bengali,22
mSBERT,দরাদরি,Bengali,9
mSBERT,দরকসুরি,Bengali,2
mSBERT,দরদর,Bengali,42
mSBERT,দরদাম,Bengali,42
mSBERT,দরদাম করা,Bengali,20
mSBERT,দরজায় কড়া নাড়া,Bengali,25
mSBERT,দরাজ গলা,Bengali,33
mSBERT,দরাজ হস্ত,Bengali,2
mSBERT,দরের লোক,Bengali,20
mSBERT,দর্পণে মুখ দেখা,Bengali,0
mSBERT,দর্শনী,Bengali,42
mSBERT,দলছুট,Bengali,22
mSBERT,দল পাকানো,Bengali,42
mSBERT,দলবল,Bengali,42
mSBERT,দল বাঁধা,Bengali,31
mSBERT,দলাইমলাই,Bengali,9
mSBERT,দলাদলি,Bengali,33
mSBERT,দলিল-দস্তাবেজ,Bengali,6
mSBERT,দলে দলে,Bengali,42
mSBERT,দলে ভারী,Bengali,42
mSBERT,দশ আনা-ছয় আনা,Bengali,42
mSBERT,দশ কথা,Bengali,49
mSBERT,দশকথা,Bengali,42
mSBERT,দশকর্ম,Bengali,2
mSBERT,দশগুণ,Bengali,49
mSBERT,দশচক্র,Bengali,25
mSBERT,দশচক্রে ভগবান ভূত,Bengali,2
mSBERT,দশজনের একজন,Bengali,49
mSBERT,দশভুজা চণ্ডী,Bengali,2
mSBERT,দশবাই চণ্ডী,Bengali,12
mSBERT,দশবার,Bengali,42
mSBERT,দশভুজা,Bengali,9
mSBERT,দশমুখে দশকথা,Bengali,42
mSBERT,দশমী দশা,Bengali,2
mSBERT,দশাসই,Bengali,9
mSBERT,দস্তানা পড়া বিড়াল,Bengali,2
mSBERT,দর-দস্তুর,Bengali,9
mSBERT,দস্তুর,Bengali,9
mSBERT,দস্তুর মত,Bengali,20
mSBERT,দহন,Bengali,42
mSBERT,দহরম মহরম,Bengali,9
mSBERT,দহলা-নহলা করা,Bengali,33
mSBERT,দাঁও মারা,Bengali,11
mSBERT,দাঁড়কাকের ময়ূরপুচ্ছ,Bengali,12
mSBERT,দাঁড়ি টানা,Bengali,22
mSBERT,দাঁত কপাটি লাভাল,Bengali,2
mSBERT,দাঁত-ক্যালানে,Bengali,33
mSBERT,দাঁত খিচানো,Bengali,25
mSBERT,দাঁত থাকতে দাঁতের মর্যাদা বোঝা,Bengali,20
mSBERT,দাঁত ফোটানো,Bengali,25
mSBERT,দাঁত বার করা,Bengali,20
mSBERT,দাঁত ভাঙা,Bengali,25
mSBERT,দাঁতভাঙা,Bengali,25
mSBERT,দাঁতে কাঠি দিয়ে পড়ে থাকা,Bengali,25
mSBERT,দাঁতে কুটো করা,Bengali,0
mSBERT,দাঁতে জিভে সম্পর্ক,Bengali,20
mSBERT,দাঁতে দড়ি দিয়ে পরে থাকা,Bengali,25
mSBERT,দাঁতের বদলে দাঁত,Bengali,42
mSBERT,দাঁতের বাদ্যি,Bengali,20
mSBERT,দাউদাউ,Bengali,9
mSBERT,দা-কুমড়া সম্পর্ক,Bengali,20
mSBERT,দাগ,Bengali,22
mSBERT,দাগ লাগা,Bengali,22
mSBERT,দাগা,Bengali,22
mSBERT,দাগাবাজ,Bengali,9
mSBERT,দাগাবাজি,Bengali,33
mSBERT,দাগা বুলানো,Bengali,9
mSBERT,দাগি,Bengali,22
mSBERT,দাঙ্গাহাঙ্গামা,Bengali,12
mSBERT,দাণ্ডা-খাণ্ডা,Bengali,22
mSBERT,দাতাকর্ণ,Bengali,9
mSBERT,দাদ তোলা,Bengali,22
mSBERT,দাদা হজম,Bengali,22
mSBERT,দাদাগিরি,Bengali,9
mSBERT,দাদার দাদা,Bengali,22
mSBERT,দান-খয়রাত,Bengali,12
mSBERT,দানসামগ্রী,Bengali,12
mSBERT,দানাপানি,Bengali,33
mSBERT,দাপাদাপি,Bengali,33
mSBERT,দাবীদাওয়া,Bengali,20
mSBERT,দাম,Bengali,43
mSBERT,দায়ঠেলা,Bengali,9
mSBERT,দায়দায়িত্ব,Bengali,27
mSBERT,দায় পড়া,Bengali,20
mSBERT,দায়সারা,Bengali,33
mSBERT,দায়ে পড়া,Bengali,20
mSBERT,দায়ে পড়ে ঢেলায় প্রণাম,Bengali,20
mSBERT,দারুভূত জগন্নাথ,Bengali,12
mSBERT,দার্শনিকতা,Bengali,20
mSBERT,দালাল,Bengali,2
mSBERT,দালালি,Bengali,2
mSBERT,দাসখৎ,Bengali,9
mSBERT,দাসানুদাস,Bengali,33
mSBERT,দিকপাল,Bengali,9
mSBERT,দিকদারি,Bengali,42
mSBERT,দিগগজ,Bengali,9
mSBERT,দিগঙ্গনা,Bengali,33
mSBERT,দিগদিগন্ত,Bengali,33
mSBERT,দিগবসনা,Bengali,33
mSBERT,দিগ্বিদিক,Bengali,12
mSBERT,দিগ্ভ্রান্ত,Bengali,9
mSBERT,দিন আনা দিন খাওয়া,Bengali,2
mSBERT,দিন আসা,Bengali,40
mSBERT,দিন কাটা,Bengali,42
mSBERT,দিন কাটে তো রাত কাটে না,Bengali,40
mSBERT,দিনকাল,Bengali,42
mSBERT,দিন কেনা,Bengali,42
mSBERT,দিনকে দিন,Bengali,20
mSBERT,দিনকে রাত করা,Bengali,2
mSBERT,দিনক্ষণ,Bengali,40
mSBERT,দিনগত পাপক্ষয়,Bengali,20
mSBERT,দিন গোনা,Bengali,12
mSBERT,দিন ঘনিয়ে আসা,Bengali,20
mSBERT,দিন চলা,Bengali,40
mSBERT,দিন চালানো,Bengali,20
mSBERT,দিন দিন,Bengali,42
mSBERT,দিন-দুনিয়া,Bengali,2
mSBERT,দিনদুনিয়ার মালিক,Bengali,2
mSBERT,দিনদুপুর,Bengali,2
mSBERT,দিন ফুরানো,Bengali,40
mSBERT,দিনভর,Bengali,42
mSBERT,দিনমান,Bengali,9
mSBERT,দিনলিপি,Bengali,42
mSBERT,দিনে ডাকাতি,Bengali,20
mSBERT,দিনে তারা দেখা,Bengali,20
mSBERT,দিনে দিনে,Bengali,2
mSBERT,দিনের দিন,Bengali,42
mSBERT,দিবাস্বপ্ন,Bengali,33
mSBERT,দিব্বি,Bengali,33
mSBERT,দিল খোলা,Bengali,22
mSBERT,দিলখুশ,Bengali,33
mSBERT,দিল দরিয়া,Bengali,33
mSBERT,দিলরুবা,Bengali,9
mSBERT,দিল্লি দূর অস্ত,Bengali,12
mSBERT,দিল্লি হিল্লি,Bengali,33
mSBERT,দিল্লিকা লাড্ডু,Bengali,33
mSBERT,দিশপাশ,Bengali,42
mSBERT,দিশাহারা,Bengali,12
mSBERT,দীন দুনিয়ার মালিক,Bengali,2
mSBERT,দীর্ঘশ্বাস,Bengali,16
mSBERT,দীর্ঘসূত্রতা,Bengali,20
mSBERT,দীর্ঘসূত্রী,Bengali,20
mSBERT,দুইয়ে দুইয়ে চার,Bengali,49
mSBERT,দুইয়ের বার,Bengali,42
mSBERT,দু-এক কথা,Bengali,49
mSBERT,দু কথা,Bengali,49
mSBERT,দুঃখের উপর টনকের ঘা,Bengali,20
mSBERT,দু কথা হওয়া,Bengali,49
mSBERT,দু’কাঠি বাজানো,Bengali,25
mSBERT,দু’কান কাটা,Bengali,42
mSBERT,দু’কুল,Bengali,42
mSBERT,দুকূল,Bengali,9
mSBERT,দুঃখচাটা,Bengali,22
mSBERT,দুখীরাম,Bengali,33
mSBERT,দুখের দুখী,Bengali,25
mSBERT,দুঘড়ি,Bengali,22
mSBERT,দু-চার কথা,Bengali,49
mSBERT,দু-চুচকো,Bengali,22
mSBERT,দুচোখের দেখা,Bengali,22
mSBERT,দু-চোখের বিষ,Bengali,22
mSBERT,দুড়দাড়,Bengali,9
mSBERT,দুড়দুড়,Bengali,9
mSBERT,দুধ কলা দিয়ে সাপ পোষা,Bengali,41
mSBERT,দুধ ঘির শ্রাদ্ধ,Bengali,41
mSBERT,দুধ মরে ক্ষীরটুকু,Bengali,41
mSBERT,দুধে আলতা রঙ,Bengali,41
mSBERT,দুধে গরুর চোনা,Bengali,41
mSBERT,দুধে জলে মেশা,Bengali,41
mSBERT,দুধে ভাতে থাকা,Bengali,25
mSBERT,দুধের ছেলে,Bengali,1
mSBERT,দুধের মাছি,Bengali,22
mSBERT,দুধের বদলে ঘোল,Bengali,41
mSBERT,দুনিয়াদার,Bengali,33
mSBERT,দুনিয়ার বার,Bengali,2
mSBERT,দোনোমনো করা,Bengali,20
mSBERT,দু'নৌকায় পা দোলানো,Bengali,38
mSBERT,দু'নৌকায় পা দেয়া,Bengali,38
mSBERT,দু'নৌকায় পা দিয়া,Bengali,38
mSBERT,দুপায়ে দণ্ডবৎ,Bengali,42
mSBERT,দুমুখো লোক,Bengali,1
mSBERT,দুমুখো সাপ,Bengali,25
mSBERT,দুমুঠো,Bengali,22
mSBERT,দুমেটে,Bengali,22
mSBERT,দুয়ারে হাতীবাঁধা,Bengali,25
mSBERT,দুর-দুর,Bengali,22
mSBERT,দুরদৃষ্ট,Bengali,20
mSBERT,দুরমুশ করা,Bengali,20
mSBERT,দুর্বাসা,Bengali,2
mSBERT,দুর্মুখ,Bengali,9
mSBERT,দুলাল,Bengali,2
mSBERT,দুঃশাসন,Bengali,27
mSBERT,দুষ্টের আটারোগাছি পথ,Bengali,2
mSBERT,দু'হাত এক করা,Bengali,49
mSBERT,দূর ছাই,Bengali,42
mSBERT,দূর ছাই করা,Bengali,42
mSBERT,দূরদর্শী,Bengali,20
mSBERT,দূর দূর,Bengali,45
mSBERT,দূর দূর করা,Bengali,20
mSBERT,দূরদৃষ্টি,Bengali,42
mSBERT,দূর্বা গজানো,Bengali,20
mSBERT,দৃঢ়মুষ্ঠি,Bengali,20
mSBERT,দৃঢ়মূল,Bengali,42
mSBERT,দৃষ্টান্ত,Bengali,42
mSBERT,দৃষ্টির ব্যামো,Bengali,17
mSBERT,দেঁতো হাসি,Bengali,16
mSBERT,দেওয়াল তুলে দেওয়া,Bengali,42
mSBERT,দেওয়ালে পিঠ ঠেকা,Bengali,25
mSBERT,দেওয়ালে মাথা ঠোকা,Bengali,25
mSBERT,দেওয়ালের কান থাকা,Bengali,25
mSBERT,দেওয়ালের লিখন,Bengali,2
mSBERT,দেখতে দেখতে,Bengali,49
mSBERT,দেখ তো তোর না দেখ তো মোরে,Bengali,17
mSBERT,দেখন হাসি,Bengali,22
mSBERT,দেখনাই,Bengali,49
mSBERT,দেখ-ভালো করা,Bengali,42
mSBERT,দেখ সিঁদুরে,Bengali,22
mSBERT,দেখাদেখি,Bengali,49
mSBERT,দেখা যাক,Bengali,49
mSBERT,দেখাশুনা,Bengali,16
mSBERT,দেখাশোনা,Bengali,20
mSBERT,দেখাসাক্ষাৎ,Bengali,13
mSBERT,দেখিয়ে দেওয়া,Bengali,49
mSBERT,দেখে নেওয়া,Bengali,20
mSBERT,দেখেশুনে,Bengali,49
mSBERT,দেখে শুনে,Bengali,49
mSBERT,দেদোর মর্ম দেদোয় জানে,Bengali,12
mSBERT,দেনমোহর,Bengali,9
mSBERT,দেনাপাওনা,Bengali,42
mSBERT,দেবপুরী,Bengali,33
mSBERT,দেবর লক্ষণ,Bengali,2
mSBERT,দেবা,Bengali,9
mSBERT,দেমাগ,Bengali,33
mSBERT,দেয়াল তুলে দেওয়া,Bengali,2
mSBERT,দেয়ালে পিঠ ঠেকে যাওয়া,Bengali,25
mSBERT,দেয়ালে মাথা ঠোকা,Bengali,25
mSBERT,দেয়ালেরও কান আছে,Bengali,15
mSBERT,দেরপোদি,Bengali,9
mSBERT,দেশ-কাল-পাত্র,Bengali,12
mSBERT,দেহ মাটি করা,Bengali,20
mSBERT,দেহাতি,Bengali,22
mSBERT,দেহি দেহি রব,Bengali,33
mSBERT,দৈত্যকুলে প্রহ্লাদ,Bengali,2
mSBERT,দৈত্য-দানো,Bengali,9
mSBERT,দৈনন্দিন,Bengali,42
mSBERT,দৈবাৎ,Bengali,33
mSBERT,দো-আঁশলা,Bengali,12
mSBERT,দোজোবর,Bengali,33
mSBERT,দোটানা,Bengali,9
mSBERT,দোটানায় পড়া,Bengali,2
mSBERT,দোনোমনা,Bengali,33
mSBERT,দোরগোড়া,Bengali,9
mSBERT,দোর ধরা,Bengali,25
mSBERT,দোলাচল,Bengali,12
mSBERT,দোষত্রুটি,Bengali,20
mSBERT,দোষৈকদর্শী,Bengali,20
mSBERT,দোসর লক্ষ্মণ,Bengali,2
mSBERT,দোহন করা,Bengali,2
mSBERT,দোহার,Bengali,33
mSBERT,দোহারা,Bengali,33
mSBERT,মোল্লার দৌড় মসজিদ পর্যন্ত,Bengali,2
mSBERT,দৌড়ঝাঁপ,Bengali,42
mSBERT,দৌড় মারা,Bengali,42
mSBERT,দৌলত,Bengali,9
mSBERT,দ্বিচারিণী,Bengali,20
mSBERT,দ্বিজিহ্বা,Bengali,33
mSBERT,দ্বিমত,Bengali,20
mSBERT,দ্বিরুক্তি,Bengali,20
mSBERT,দ্বীপান্তর,Bengali,2
mSBERT,দ্বৈপায়নতা,Bengali,20
mSBERT,দ্ব্যর্থহীন,Bengali,20
mSBERT,ধড়াচূড়া,Bengali,9
mSBERT,ধড়ে প্রাণ আসা,Bengali,20
mSBERT,ধনঞ্জয়ের পালা,Bengali,2
mSBERT,ধনদাস,Bengali,33
mSBERT,ধনপিশাচ,Bengali,33
mSBERT,ধনপ্রিয়া,Bengali,33
mSBERT,ধনুর্ভঙ্গ পণ,Bengali,20
mSBERT,ধনুর্ধর,Bengali,9
mSBERT,ধনুর্ভঙ্গপণ,Bengali,2
mSBERT,ধনে-প্রাণে মজা/মরা,Bengali,22
mSBERT,ধনেশ্বর,Bengali,33
mSBERT,ধন্বন্তরি,Bengali,9
mSBERT,ধর তক্তা মার পেরেক,Bengali,12
mSBERT,ধরতাই বুলি,Bengali,22
mSBERT,ধরতে ছুঁতে নেই,Bengali,26
mSBERT,ধরণা দেওয়া,Bengali,20
mSBERT,ধরপাকড়,Bengali,22
mSBERT,ধর লক্ষ্মণ,Bengali,12
mSBERT,ধর লক্ষণ,Bengali,42
mSBERT,ধরাকে সরা জ্ঞান করা,Bengali,20
mSBERT,ধরাছোঁয়া,Bengali,22
mSBERT,ধরাছোঁয়া না দেওয়া,Bengali,20
mSBERT,ধরাছোঁয়ার বাইরে,Bengali,42
mSBERT,ধরা দেওয়া,Bengali,42
mSBERT,ধরাধরি,Bengali,42
mSBERT,ধরাবাঁধা,Bengali,22
mSBERT,ধরাশায়ী,Bengali,20
mSBERT,ধরিত্রীপুত্র,Bengali,2
mSBERT,ধরি মাছ না ছুঁই পানি,Bengali,39
mSBERT,ধরে বেঁধে,Bengali,22
mSBERT,ধর্ণা দেওয়া,Bengali,20
mSBERT,ধর্মকর্ম,Bengali,34
mSBERT,ধর্মপত্নী,Bengali,34
mSBERT,ধর্মপিতা,Bengali,20
mSBERT,ধর্মপুত্র যুধিষ্ঠির,Bengali,34
mSBERT,ধর্মভাই,Bengali,34
mSBERT,ধর্মের কল,Bengali,34
mSBERT,ধর্মের কল বাতাসে নড়ে,Bengali,34
mSBERT,ধর্মের ষাঁড়,Bengali,34
mSBERT,ধস্তাধস্তি,Bengali,9
mSBERT,ধাঁ করে,Bengali,22
mSBERT,ধাঁধা,Bengali,22
mSBERT,ধাক্কা সামলানো,Bengali,20
mSBERT,ধাড়ি,Bengali,22
mSBERT,ধাত,Bengali,9
mSBERT,ধাতস্থ,Bengali,9
